G,Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
10,Nov 10 2018,12:00 PM,Sat,(8) Ohio State,@,(24) Michigan State,Big Ten,W,26,6,9,1,W 2,
11,Nov 17 2018,12:00 PM,Sat,(9) Ohio State,@,Maryland,Big Ten,W,52,51,10,1,W 3,
12,Nov 24 2018,12:00 PM,Sat,(10) Ohio State,,(4) Michigan,Big Ten,W,62,39,11,1,W 4,
13,Dec 1 2018,8:00 PM,Sat,(6) Ohio State,N,(21) Northwestern,Big Ten,W,45,24,12,1,W 5,Big Ten Championship Game
14,Jan 1 2019,5:00 PM,Tue,(5) Ohio State,N,(9) Washington,Pac-12,W,28,23,13,1,W 6,Rose Bowl
1,Aug 31 2017,8:00 PM,Thu,(2) Ohio State,@,Indiana,Big Ten,W,49,21,1,0,W 1,Memorial Stadium "The Rock" - Bloomington Indiana
2,Sep 9 2017,7:30 PM,Sat,(2) Ohio State,,(5) Oklahoma,Big 12,L,16,31,1,1,L 1,Ohio Stadium - Columbus Ohio
3,Sep 16 2017,4:30 PM,Sat,(8) Ohio State,,Army,Ind,W,38,7,2,1,W 1,Ohio Stadium - Columbus Ohio
4,Sep 23 2017,12:00 PM,Sat,(10) Ohio State,,Nevada-Las Vegas,MWC,W,54,21,3,1,W 2,Ohio Stadium - Columbus Ohio
5,Sep 30 2017,7:30 PM,Sat,(11) Ohio State,@,Rutgers,Big Ten,W,56,0,4,1,W 3,High Point Solutions Stadium - Piscataway New Jersey
6,Oct 7 2017,4:00 PM,Sat,(10) Ohio State,,Maryland,Big Ten,W,62,14,5,1,W 4,Ohio Stadium - Columbus Ohio
7,Oct 14 2017,7:30 PM,Sat,(9) Ohio State,@,Nebraska,Big Ten,W,56,14,6,1,W 5,Memorial Stadium - Lincoln Nebraska
8,Oct 28 2017,3:30 PM,Sat,(6) Ohio State,,(2) Penn State,Big Ten,W,39,38,7,1,W 6,Ohio Stadium - Columbus Ohio
9,Nov 4 2017,3:30 PM,Sat,(3) Ohio State,@,Iowa,Big Ten,L,24,55,7,2,L 1,Kinnick Stadium - Iowa City Iowa
10,Nov 11 2017,12:00 PM,Sat,(11) Ohio State,,(13) Michigan State,Big Ten,W,48,3,8,2,W 1,Ohio Stadium - Columbus Ohio
11,Nov 18 2017,3:30 PM,Sat,(8) Ohio State,,Illinois,Big Ten,W,52,14,9,2,W 2,Ohio Stadium - Columbus Ohio
12,Nov 25 2017,12:00 PM,Sat,(8) Ohio State,@,Michigan,Big Ten,W,31,20,10,2,W 3,Michigan Stadium - Ann Arbor Michigan
13,Dec 2 2017,8:00 PM,Sat,(8) Ohio State,N,(3) Wisconsin,Big Ten,W,27,21,11,2,W 4,Big Ten Championship Game
14,Dec 29 2017,8:30 PM,Fri,(5) Ohio State,N,(8) USC,Pac-12,W,24,7,12,2,W 5,Cotton Bowl (AT&T Stadium - Arlington Texas)
1,Sep 3 2016,12:00 PM,Sat,(6) Ohio State,,Bowling Green State,MAC,W,77,10,1,0,W 1,
2,Sep 10 2016,3:30 PM,Sat,(4) Ohio State,,Tulsa,American,W,48,3,2,0,W 2,
3,Sep 17 2016,9:10 PM,Sat,(3) Ohio State,@,(14) Oklahoma,Big 12,W,45,24,3,0,W 3,
4,Oct 1 2016,12:00 PM,Sat,(2) Ohio State,,Rutgers,Big Ten,W,58,0,4,0,W 4,
5,Oct 8 2016,3:30 PM,Sat,(2) Ohio State,,Indiana,Big Ten,W,38,17,5,0,W 5,
6,Oct 15 2016,8:00 PM,Sat,(2) Ohio State,@,(8) Wisconsin,Big Ten,W,30,23,6,0,W 6,
7,Oct 22 2016,8:00 PM,Sat,(2) Ohio State,@,Penn State,Big Ten,L,21,24,6,1,L 1,
8,Oct 29 2016,3:30 PM,Sat,(6) Ohio State,,Northwestern,Big Ten,W,24,20,7,1,W 1,
9,Nov 5 2016,8:00 PM,Sat,(6) Ohio State,,(9) Nebraska,Big Ten,W,62,3,8,1,W 2,
10,Nov 12 2016,3:30 PM,Sat,(6) Ohio State,@,Maryland,Big Ten,W,62,3,9,1,W 3,
11,Nov 19 2016,12:00 PM,Sat,(2) Ohio State,@,Michigan State,Big Ten,W,17,16,10,1,W 4,
12,Nov 26 2016,12:00 PM,Sat,(2) Ohio State,,(3) Michigan,Big Ten,W,30,27,11,1,W 5,
13,Dec 31 2016,7:00 PM,Sat,(2) Ohio State,N,(3) Clemson,ACC,L,0,31,11,2,L 1,Fiesta Bowl
